date,user,steps,calories,distance_km,active_minutes,resting_heart_rate,sleep_hours
2024-01-01,Alice,7674,484,6.5,63,66,8.2
2024-01-01,Bob,4710,265,3.9,21,77,5.8
2024-01-01,Carol,13238,498,9.8,57,63,7.9
2024-01-01,Dave,9169,430,5.4,47,72,7.5
2024-01-01,Eve,11558,564,8.5,65,66,7.3
2024-01-02,Alice,7889,411,6.9,36,66,8.5
2024-01-02,Bob,5011,296,5,29,73,7.4
2024-01-02,Carol,13656,631,8.9,73,64,7.6
2024-01-02,Dave,6750,336,4.4,34,66,6.7
2024-01-02,Eve,12294,566,6.2,45,68,7.5
2024-01-03,Alice,10751,525,5.1,51,62,7.4
2024-01-03,Bob,5740,266,4.3,25,72,7
2024-01-03,Carol,11708,658,10.2,57,61,8.4
2024-01-03,Dave,9275,455,5.2,50,73,7.2
2024-01-03,Eve,8497,578,8.9,40,63,6.8
2024-01-04,Alice,10256,374,8.1,47,68,7.4
2024-01-04,Bob,4740,265,4.3,38,72,6.9
2024-01-04,Carol,9726,679,6.7,75,58,9.1
2024-01-04,Dave,6046,338,6.8,52,67,7.7
2024-01-04,Eve,8069,594,7.4,41,62,7.9
2024-01-05,Alice,7651,493,5.8,53,70,7.8
2024-01-05,Bob,6344,346,5,21,76,7.7
2024-01-05,Carol,11444,546,7.4,56,63,7.3
2024-01-05,Dave,7135,362,6,32,66,7.8
2024-01-05,Eve,8417,528,7.7,48,61,8.8
2024-01-06,Alice,12836,506,5.9,42,60,7.9
2024-01-06,Bob,6681,338,5.2,37,76,5.9
2024-01-06,Carol,11731,799,12.1,103,59,8.3
2024-01-06,Dave,9000,499,6.3,42,70,7.2
2024-01-06,Eve,12183,584,10.6,45,68,7.5
2024-01-07,Alice,9165,438,9,58,69,6.6
2024-01-07,Bob,6967,407,5.7,35,70,7.6
2024-01-07,Carol,13521,664,9.7,61,59,8.6
2024-01-07,Dave,10567,411,6.5,40,68,8
2024-01-07,Eve,9935,657,9.2,66,60,7.1
2024-01-08,Alice,7769,418,5.4,57,65,8.5
2024-01-08,Bob,6261,260,4.5,31,75,5.9
2024-01-08,Carol,14757,651,9.5,89,57,6.8
2024-01-08,Dave,6548,340,6.7,49,75,6.2
2024-01-08,Eve,11712,585,7,42,61,7.9
2024-01-09,Alice,10936,444,7.1,45,60,7.4
2024-01-09,Bob,6856,341,5,29,71,7.3
2024-01-09,Carol,12916,586,10.9,51,64,9.1
2024-01-09,Dave,5750,334,5.8,49,71,6.1
2024-01-09,Eve,10829,589,8.9,45,62,8.9
2024-01-10,Alice,9998,409,8,37,65,6.7
2024-01-10,Bob,4818,257,3.7,36,69,6.4
2024-01-10,Carol,10207,473,8.2,59,60,7.9
2024-01-10,Dave,5942,321,6,40,70,6.9
2024-01-10,Eve,10037,453,7.7,57,65,7.3
2024-01-11,Alice,7534,367,6.8,36,62,8.2
2024-01-11,Bob,4847,270,4.6,23,75,7.4
2024-01-11,Carol,9309,466,8,73,64,9.2
2024-01-11,Dave,7455,426,5.4,46,65,7.2
2024-01-11,Eve,12326,595,8.3,51,59,8.9
2024-01-12,Alice,11162,489,5,63,63,8.1
2024-01-12,Bob,4794,353,3.5,33,73,7.1
2024-01-12,Carol,10325,546,7.2,71,56,8.7
2024-01-12,Dave,5938,323,6.5,30,64,6.7
2024-01-12,Eve,10022,481,6,41,61,6.7
2024-01-13,Alice,8639,422,6.3,47,70,7.5
2024-01-13,Bob,8128,399,3.7,43,72,5.8
2024-01-13,Carol,10486,671,8.2,89,60,8.2
2024-01-13,Dave,6954,410,6.7,45,73,6
2024-01-13,Eve,12414,675,8.3,61,66,7.8
2024-01-14,Alice,12425,461,7.3,70,65,7.9
2024-01-14,Bob,7889,353,4.8,33,72,7.6
